weight,word
47608,hotel
33391,room
20481,great
18394,nt
16484,good
15799,staff
14830,stay
12040,nice
11662,rooms
10821,location
10245,stayed
9705,service
9459,time
9230,beach
9142,night
9101,clean
9059,breakfast
9023,day
8644,food
7661,resort
7493,place
6869,pool
6510,friendly
6496,people
6359,small
5927,walk
5846,excellent
5763,area
5488,2
5336,helpful
5013,restaurant
4918,bar
4831,bathroom
4783,restaurants
4770,trip
4735,recommend
4714,bed
4700,water
4509,beautiful
4496,view
4443,floor
4305,comfortable
4275,desk
4231,5
4222,nights
4194,3
3975,wonderful
3953,hotels
3918,free
3884,make
3821,city
3757,bit
3724,booked
3637,large
3632,reviews
3616,price
3571,street
3513,minutes
3411,buffet
3265,days
3252,lobby
3178,loved
3169,experience
3156,4
3083,close
3058,morning
2943,big
2909,lovely
2895,fantastic
2883,airport
2847,check
2815,walking
2814,perfect
2808,problem
2779,lot
2777,quiet
2755,arrived
2739,shower
2739,bad
2699,times
2671,week
2645,husband
2592,beds
2591,told
2557,long
2546,door
2540,money
2505,station
2484,vacation
2468,worth
2452,drinks
2450,left
2434,10
2422,pretty
2396,enjoyed
2384,staying
2356,eat
2355,coffee
2309,main
2305,dinner
2302,asked
2278,located
2249,thing
2246,star
2219,things
2196,feel
2182,internet
2167,hot
2131,lots
2121,bus
2104,return
2104,noise
2097,amazing
2093,easy
2045,home
2040,english
2037,couple
2030,wanted
2023,fun
2010,kids
2005,family
1998,open
1998,early
1992,extremely
1988,club
1981,visit
1945,reception
1943,guests
1939,modern
1926,size
1922,suite
1909,minute
1902,tv
1901,huge
1875,shopping
1873,expensive
1872,year
1866,fine
1850,returned
1846,pay
1843,work
1831,thought
1821,felt
1819,towels
1810,ca
1796,evening
1791,spacious
1786,extra
1781,1
1775,plenty
1771,hour
1753,hours
1740,end
1728,hard
1725,air
1719,highly
1702,car
1702,distance
1695,spent
1672,wait
1668,building
1657,expect
1655,drink
1654,choice
1652,short
1651,high
1650,san
1647,places
1646,punta
1642,business
1635,called
1633,cana
1626,ocean
1613,safe
1610,rate
1604,wife
1598,access
1590,read
1585,paid
1566,included
1566,happy
1559,parking
1558,pleasant
1536,travel
1531,late
1516,book
1504,quality
1498,square
1457,central
1443,fresh
1441,absolutely
1422,weekend
1416,ate
1413,problems
1410,tour
1407,gave
1407,deal
1393,enjoy
1387,metro
1386,looked
1378,leave
1369,person
1362,park
1358,lunch
1350,checked
1346,needed
1341,la
1339,bring
1332,standard
1295,lounge
1292,train
1290,special
1276,20
1261,15
1260,barcelona
1260,cold
1258,6
1249,taxi
1248,property
1246,holiday
1240,views
1234,french
1230,concierge
1227,friends
1223,double
1222,wine
1211,reservations
1208,paris
1206,bars
1196,local
1194,luggage
1192,ride
1191,convenient
1185,average
1182,grounds
1168,stop
1164,disappointed
1150,ready
1149,space
1147,chairs
1144,sleep
1142,spanish
1140,balcony
1137,warm
1133,shops
1126,speak
1119,amsterdam
1115,arrival
1114,bath
1113,fruit
1110,children
1110,cost
1109,including
1109,fabulous
1108,offered
1108,fact
1107,spa
1103,real
1101,years
1095,manager
1092,busy
1090,expected
1082,tip
1080,love
1079,center
1071,charge
1071,florence
1069,areas
1065,block
1061,corner
1060,walked
1057,cheap
1056,line
1045,island
1044,checkin
1035,town
1027,blocks
1024,entertainment
1020,world
1019,pools
1017,road
1010,7
1008,provided
1005,decided
1004,flight
1003,booking
999,euros
993,reservation
988,prices
983,facilities
981,decent
979,king
978,spend
975,light
972,noisy
969,nearby
965,centre
962,resorts
960,group
959,30
958,served
957,hear
954,change
949,kind
946,12
944,table
942,start
938,half
937,worked
935,relaxing
933,review
930,window
928,reading
926,website
921,cool
918,order
918,windows
916,making
913,meal
911,house
910,italian
908,care
901,rest
